Hidden Nodes,Validation MSE
1,0.004292742814868689
2,0.0030953327659517527
3,0.0035081664100289345
4,0.0019823145121335983
5,0.003132626647129655
6,0.001818251796066761
7,0.0016163854161277413
8,0.0015453178202733397
9,0.001797717995941639
10,0.001957475673407316
11,0.0014975272351875901
12,0.001647488446906209
13,0.0014369640266522765
14,0.001699123065918684
15,0.001252110698260367
16,0.0014124884037300944
17,0.0013999302173033357
18,0.001544527243822813
19,0.0015546862268820405
20,0.0014637113781645894
